Generation,Best Fitness
1,5.249549125166414
2,5.249549125166414
3,5.249549125166414
4,4.241504666226984
5,3.0114871707863067
6,3.0114871707863067
7,3.0114871707863067
8,3.0114871707863067
9,3.0114871707863067
10,3.0114871707863067
11,1.310700285783028
12,1.310700285783028
13,1.310700285783028
14,1.310700285783028
15,1.310700285783028
16,1.310700285783028
17,1.310700285783028
18,1.310700285783028
19,1.310700285783028
20,1.310700285783028
21,1.310700285783028
22,1.310700285783028
23,1.0724440149431658
24,1.0724440149431658
25,1.0100074370580998
26,1.0100074370580998
27,1.0100074370580998
28,1.0100074370580998
29,0.5561457047203291
30,0.5561457047203291
31,0.5561457047203291
32,0.5561457047203291
33,0.5561457047203291
34,0.5561457047203291
35,0.5561457047203291
36,0.5561457047203291
37,0.5561457047203291
38,0.5561457047203291
39,0.5561457047203291
40,0.5561457047203291
41,0.5561457047203291
42,0.5561457047203291
43,0.5561457047203291
44,0.5561457047203291
45,0.5561457047203291
46,0.5561457047203291
47,0.5561457047203291
48,0.02448165264516433
49,0.02448165264516433
50,0.02448165264516433
51,0.02448165264516433
52,0.02448165264516433
53,0.02448165264516433
54,0.02448165264516433
55,0.02448165264516433
56,0.02448165264516433
57,0.02448165264516433
58,0.02448165264516433
59,0.02448165264516433
60,0.011165364705394865
61,0.011165364705394865
62,0.011165364705394865
63,0.011165364705394865
64,0.011165364705394865
65,0.011165364705394865
66,0.011165364705394865
67,0.011165364705394865
68,0.011165364705394865
69,0.00882903441302929
70,0.004336872230819466
71,0.004336872230819466
72,0.004336872230819466
73,0.0025228972348649847
74,0.0025228972348649847
75,0.000136542547462426
76,0.000136542547462426
77,0.000136542547462426
78,0.000136542547462426
79,0.000136542547462426
80,0.000136542547462426
81,3.629599545362794e-05
82,3.629599545362794e-05
83,3.629599545362794e-05
84,2.2626655020729913e-05
85,3.1843547922960624e-06
86,3.1843547922960624e-06
87,3.1843547922960624e-06
88,3.1843547922960624e-06
89,3.1843547922960624e-06
90,3.1843547922960624e-06
91,3.1843547922960624e-06
92,3.1843547922960624e-06
93,3.1843547922960624e-06
94,2.2579468534900116e-06
95,8.305510839079489e-07
96,1.6632714761044554e-07
97,1.6632714761044554e-07
98,1.6632714761044554e-07
99,1.6632714761044554e-07
100,1.4351973831594478e-07
101,1.4351973831594478e-07
102,2.4326574532551604e-08
103,2.4326574532551604e-08
104,2.4326574532551604e-08
105,2.4326574532551604e-08
106,2.4326574532551604e-08
107,1.0232287905864723e-08
108,1.0232287905864723e-08
109,8.186578526192534e-09
110,8.186578526192534e-09
111,5.981082296102613e-09
112,3.1073419393123913e-09
113,1.2647412006572267e-09
114,5.829967619774834e-10
115,4.764686423186504e-10
116,3.391065206415078e-11
117,3.391065206415078e-11
118,3.391065206415078e-11
119,3.391065206415078e-11
120,3.391065206415078e-11
121,3.391065206415078e-11
122,3.391065206415078e-11
123,3.391065206415078e-11
124,3.391065206415078e-11
125,5.5351279115711804e-12
126,5.5351279115711804e-12
127,5.5351279115711804e-12
128,3.872457909892546e-13
129,3.872457909892546e-13
130,2.877698079828406e-13
131,2.877698079828406e-13
132,2.877698079828406e-13
133,2.877698079828406e-13
134,2.877698079828406e-13
135,2.877698079828406e-13
136,2.877698079828406e-13
137,1.9895196601282805e-13
138,7.105427357601002e-15
139,7.105427357601002e-15
140,7.105427357601002e-15
141,7.105427357601002e-15
142,7.105427357601002e-15
143,7.105427357601002e-15
144,7.105427357601002e-15
145,7.105427357601002e-15
146,7.105427357601002e-15
147,7.105427357601002e-15
148,7.105427357601002e-15
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
