Generation,Best Fitness
1,4.105222048367995
2,4.745571382093207
3,2.0704671741930802
4,2.0704671741930802
5,0.7864071611508372
6,0.12165760300224804
7,0.10711346135774491
8,0.10711346135774491
9,0.03912174098739385
10,0.011615488998593548
11,0.012409549638107364
12,0.00038333707369986314
13,0.00038333707369986314
14,0.0008216602392998595
15,0.00034576919886575297
16,0.00013902351413719316
17,3.752297100589885e-05
18,8.020717946521927e-05
19,3.9320353355520865e-05
20,1.0329313059997958e-05
21,1.5019215368283767e-05
22,1.5019215368283767e-05
23,7.362521980525116e-06
24,1.7096652733528117e-06
25,3.2611403710802733e-07
26,2.51362173742109e-07
27,7.600534601692743e-08
28,7.941379465137288e-08
29,7.941379465137288e-08
30,1.6831948101980743e-07
31,2.0537256162356243e-07
32,1.4547487126037595e-07
33,1.4547487126037595e-07
34,1.4887708132960142e-07
35,1.538040450554945e-07
36,1.568334582202624e-07
37,1.590919325167306e-07
38,1.5942367781462963e-07
39,1.5942367781462963e-07
40,1.5942367781462963e-07
41,1.5942367781462963e-07
42,1.5942367781462963e-07
43,1.5942367781462963e-07
44,1.5942367781462963e-07
45,1.5949417431215807e-07
46,1.5995543378721777e-07
47,1.6007627934300217e-07
48,1.6008565495440052e-07
49,1.6008565495440052e-07
50,1.6008565495440052e-07
51,1.6008565495440052e-07
52,1.6008565495440052e-07
53,1.6008565495440052e-07
54,1.6008565495440052e-07
55,1.600895807030156e-07
56,1.600895807030156e-07
57,1.600895807030156e-07
58,1.6009061454269613e-07
59,1.6009061454269613e-07
60,1.6009076730938432e-07
61,1.6009092718149986e-07
62,1.6009092718149986e-07
63,1.600909378396409e-07
64,1.6009156666996205e-07
65,1.600916910149408e-07
66,1.6009171943665024e-07
67,1.6009173720021863e-07
68,1.6009173720021863e-07
69,1.600917407529323e-07
70,1.600917407529323e-07
71,1.600917407529323e-07
72,1.6009174785835967e-07
73,1.6009176562192806e-07
74,1.6009176917464174e-07
75,1.6009176917464174e-07
76,1.6009176917464174e-07
77,1.6009176917464174e-07
78,1.6009176917464174e-07
79,1.6009176917464174e-07
80,1.6009176917464174e-07
81,1.6009176917464174e-07
82,1.6009176917464174e-07
83,1.6009176917464174e-07
84,1.6009176917464174e-07
85,1.6009176917464174e-07
86,1.6009176917464174e-07
87,1.6009176917464174e-07
88,1.6009176917464174e-07
89,1.6009176917464174e-07
90,1.6009176917464174e-07
91,1.6009176917464174e-07
92,1.6009176917464174e-07
93,1.6009176917464174e-07
94,1.6009176917464174e-07
95,1.6009176917464174e-07
96,1.6009176917464174e-07
97,1.6009176917464174e-07
98,1.6009176917464174e-07
99,1.6009176917464174e-07
100,1.6009176917464174e-07
101,1.6009176917464174e-07
102,1.6009176917464174e-07
103,1.6009176917464174e-07
104,1.6009176917464174e-07
105,1.6009176917464174e-07
106,1.6009176917464174e-07
107,1.6009176917464174e-07
108,1.6009176917464174e-07
109,1.6009176917464174e-07
110,1.6009176917464174e-07
111,1.6009176917464174e-07
112,1.6009176917464174e-07
113,1.6009176917464174e-07
114,1.6009176917464174e-07
115,1.6009176917464174e-07
116,1.6009176917464174e-07
117,1.6009176917464174e-07
118,1.6009176917464174e-07
119,1.6009176917464174e-07
120,1.6009176917464174e-07
121,1.6009176917464174e-07
122,1.6009176917464174e-07
123,1.6009176917464174e-07
124,1.6009176917464174e-07
125,1.6009176917464174e-07
126,1.6009176917464174e-07
127,1.6009176917464174e-07
128,1.6009176917464174e-07
129,1.6009176917464174e-07
130,1.6009176917464174e-07
131,1.6009176917464174e-07
132,1.6009176917464174e-07
133,1.6009176917464174e-07
134,1.6009176917464174e-07
135,1.6009176917464174e-07
136,1.6009176917464174e-07
137,1.6009176917464174e-07
138,1.6009176917464174e-07
139,1.6009176917464174e-07
140,1.6009176917464174e-07
141,1.6009176917464174e-07
142,1.6009176917464174e-07
143,1.6009176917464174e-07
144,1.6009176917464174e-07
145,1.6009176917464174e-07
146,1.6009176917464174e-07
147,1.6009176917464174e-07
148,1.6009176917464174e-07
149,1.6009176917464174e-07
150,1.6009176917464174e-07
151,1.6009176917464174e-07
152,1.6009176917464174e-07
153,1.6009176917464174e-07
154,1.6009176917464174e-07
155,1.6009176917464174e-07
156,1.6009176917464174e-07
157,1.6009176917464174e-07
158,1.6009176917464174e-07
159,1.6009176917464174e-07
160,1.6009176917464174e-07
161,1.6009176917464174e-07
162,1.6009176917464174e-07
163,1.6009176917464174e-07
164,1.6009176917464174e-07
165,1.6009176917464174e-07
166,1.6009176917464174e-07
167,1.6009176917464174e-07
168,1.6009176917464174e-07
169,1.6009176917464174e-07
170,1.6009176917464174e-07
171,1.6009176917464174e-07
172,1.6009176917464174e-07
173,1.6009176917464174e-07
174,1.6009176917464174e-07
175,1.6009176917464174e-07
176,1.6009176917464174e-07
177,1.6009176917464174e-07
178,1.6009176917464174e-07
179,1.6009176917464174e-07
180,1.6009176917464174e-07
181,1.6009176917464174e-07
182,1.6009176917464174e-07
183,1.6009176917464174e-07
184,1.6009176917464174e-07
185,1.6009176917464174e-07
186,1.6009176917464174e-07
187,1.6009176917464174e-07
188,1.6009176917464174e-07
189,1.6009176917464174e-07
190,1.6009176917464174e-07
191,1.6009176917464174e-07
192,1.6009176917464174e-07
193,1.6009176917464174e-07
194,1.6009176917464174e-07
195,1.6009176917464174e-07
196,1.6009176917464174e-07
197,1.6009176917464174e-07
198,1.6009176917464174e-07
199,1.6009176917464174e-07
200,1.6009176917464174e-07
